tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
166301,10061,MinchMalin_LochGrimshader_sh,1399,Station,2016-08-14,2018-08-07,False
166302,10062,MinchMalin_LochGrimshader_wa,1399,Station,2016-08-14,2018-08-07,False
166303,10063,MinchMalin_LochGruinart_fi,1399,Station,2016-08-14,2018-08-07,False
166304,10064,MinchMalin_LochGruinart_se,1399,Station,2016-08-14,2018-08-07,False
166305,10065,MinchMalin_LochGruinart_sh,1399,Station,2016-08-14,2018-08-07,False
166306,10066,MinchMalin_LochGruinart_wa,1399,Station,2016-08-14,2018-08-07,False
166307,10067,MinchMalin_LochHarport_fi,1399,Station,2016-08-14,2018-08-07,False
166308,10068,MinchMalin_LochHarport_se,1399,Station,2016-08-14,2018-08-07,False
166309,10069,MinchMalin_LochHarport_sh,1399,Station,2016-08-14,2018-08-07,False
167263,1007,P-64 Pietarsaaren edusta,1399,Station,2016-08-14,2018-03-21,False
166310,10070,MinchMalin_LochHarport_wa,1399,Station,2016-08-14,2018-08-07,False
166311,10071,MinchMalin_LochHouram_fi,1399,Station,2016-08-14,2018-08-07,False
166312,10072,MinchMalin_LochHouram_se,1399,Station,2016-08-14,2018-08-07,False
166313,10073,MinchMalin_LochHouram_sh,1399,Station,2016-08-14,2018-08-07,False
166314,10074,MinchMalin_LochHouram_wa,1399,Station,2016-08-14,2018-08-07,False
166315,10075,MinchMalin_LochHourn_fi,1399,Station,2016-08-14,2018-08-07,False
166316,10076,MinchMalin_LochHourn_se,1399,Station,2016-08-14,2018-08-07,False
166317,10077,MinchMalin_LochHourn_sh,1399,Station,2016-08-14,2018-08-07,False
166318,10078,MinchMalin_LochHourn_wa,1399,Station,2016-08-14,2018-08-07,False
166319,10079,MinchMalin_LochInchard_fi,1399,Station,2016-08-14,2018-08-07,False
167264,1008,K-D Kokkolan edusta,1399,Station,2016-08-14,2017-08-29,False
166320,10080,MinchMalin_LochInchard_se,1399,Station,2016-08-14,2018-08-07,False
166321,10081,MinchMalin_LochInchard_sh,1399,Station,2016-08-14,2018-08-07,False
166322,10082,MinchMalin_LochInchard_wa,1399,Station,2016-08-14,2018-08-07,False
166323,10083,MinchMalin_LochIndaal_fi,1399,Station,2016-08-14,2018-08-07,False
166324,10084,MinchMalin_LochIndaal_se,1399,Station,2016-08-14,2018-08-07,False
166325,10085,MinchMalin_LochIndaal_sh,1399,Station,2016-08-14,2018-08-07,False
166326,10086,MinchMalin_LochIndaal_wa,1399,Station,2016-08-14,2018-08-07,False
166327,10087,MinchMalin_LochInver_fi,1399,Station,2016-08-14,2018-08-07,False
166328,10088,MinchMalin_LochInver_se,1399,Station,2016-08-14,2018-08-07,False
166329,10089,MinchMalin_LochInver_sh,1399,Station,2016-08-14,2018-08-07,False
167265,1009,Pe-1 Kokkolan edusta,1399,Station,2016-08-14,2018-03-21,False
166330,10090,MinchMalin_LochInver_wa,1399,Station,2016-08-14,2018-08-07,False
166331,10091,MinchMalin_LochIosalDuin_fi,1399,Station,2016-08-14,2018-08-07,False
166332,10092,MinchMalin_LochIosalDuin_se,1399,Station,2016-08-14,2018-08-07,False
166333,10093,MinchMalin_LochIosalDuin_sh,1399,Station,2016-08-14,2018-08-07,False
166334,10094,MinchMalin_LochIosalDuin_wa,1399,Station,2016-08-14,2018-08-07,False
166335,10095,MinchMalin_LochKishorn_fi,1399,Station,2016-08-14,2018-08-07,False
166336,10096,MinchMalin_LochKishorn_se,1399,Station,2016-08-14,2018-08-07,False
166337,10097,MinchMalin_LochKishorn_sh,1399,Station,2016-08-14,2018-08-07,False
166338,10098,MinchMalin_LochKishorn_wa,1399,Station,2016-08-14,2018-08-07,False
166339,10099,MinchMalin_LochLaxford_fi,1399,Station,2016-08-14,2018-08-07,False
160558,101,DMU S39A,1399,Station,2016-08-14,2020-01-24,False
167266,1010,K-B Kokkolan edusta,1399,Station,2016-08-14,2018-03-21,False
166340,10100,MinchMalin_LochLaxford_se,1399,Station,2016-08-14,2018-08-07,False
166341,10101,MinchMalin_LochLaxford_sh,1399,Station,2016-08-14,2018-08-07,False
166342,10102,MinchMalin_LochLaxford_wa,1399,Station,2016-08-14,2018-08-07,False
166343,10103,MinchMalin_LochLeurbost_fi,1399,Station,2016-08-14,2018-08-07,False
166344,10104,MinchMalin_LochLeurbost_se,1399,Station,2016-08-14,2018-08-07,False
166345,10105,MinchMalin_LochLeurbost_sh,1399,Station,2016-08-14,2018-08-07,False
166346,10106,MinchMalin_LochLeurbost_wa,1399,Station,2016-08-14,2018-08-07,False
166347,10107,MinchMalin_LochLeven_fi,1399,Station,2016-08-14,2018-08-07,False
166348,10108,WestChan_Plymco_se,1399,Station,2016-08-14,2018-08-07,False
166349,10109,WestChan_Plymco_sh,1399,Station,2016-08-14,2018-08-07,False
167267,1011,Pe-2 Kokkolan edusta,1399,Station,2016-08-14,2018-03-21,False
166350,10110,WestChan_Plymco_wa,1399,Station,2016-08-14,2018-08-07,False
166351,10111,WestChan_PlymouthOuter_fi,1399,Station,2016-08-14,2018-08-07,False
166352,10112,WestChan_PlymouthOuter_se,1399,Station,2016-08-14,2018-08-07,False
166353,10113,WestChan_PlymouthOuter_sh,1399,Station,2016-08-14,2018-08-07,False
