tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated,tblCodeGUID,tblCodeTypeGUID
164810,1,BCP,1399,Station,2016-08-14,2016-08-14,False,683b7b15-f88b-4e1d-ab2b-cc249d733cc1,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
164819,10,TF7b_1,1399,Station,2016-08-14,2016-08-14,False,bbfa607d-cdf8-49e6-afe1-e8858118c1f7,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
160557,100,DMU 455,1399,Station,2016-08-14,2017-11-28,False,3e0861ed-6c8e-4f23-a8ba-449d8c95b29c,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
167256,1000,Suomenl Pyöts Kyvy-13,1399,Station,2016-08-14,2018-03-21,False,f22941dc-7392-4450-b090-117a89c4c1c6,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166240,10000,MinchMalin_LochDon_se,1399,Station,2016-08-14,2018-08-07,False,9018f114-2038-4def-86b9-5b9ad30b57f9,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166241,10001,MinchMalin_LochDon_sh,1399,Station,2016-08-14,2018-08-07,False,e52baffc-65c1-4347-8af7-2f094c843e98,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166242,10002,MinchMalin_LochDon_wa,1399,Station,2016-08-14,2018-08-07,False,d965f597-e802-46d0-8efd-a1902a9e0026,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166243,10003,MinchMalin_LochDughaill_fi,1399,Station,2016-08-14,2018-08-07,False,10df218b-2213-4b10-9e3f-4f808ea6f15e,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166244,10004,MinchMalin_LochDughaill_se,1399,Station,2016-08-14,2018-08-07,False,f4a4e3df-fcd3-4c2b-9d93-82916a4e2925,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166245,10005,MinchMalin_LochDughaill_sh,1399,Station,2016-08-14,2018-08-07,False,e7b87005-b9ce-47c8-9593-6f84a30e77d1,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166246,10006,MinchMalin_LochDughaill_wa,1399,Station,2016-08-14,2018-08-07,False,657e6021-f437-48a4-9e21-9ea2db7dbe87,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166247,10007,MinchMalin_LochDuich_fi,1399,Station,2016-08-14,2018-08-07,False,15bfdd91-f37c-496e-9138-18fdb28d6463,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166248,10008,MinchMalin_LochDuich_se,1399,Station,2016-08-14,2018-08-07,False,1764e524-8c5d-4066-a647-9518a9728d6f,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166249,10009,MinchMalin_LochDuich_sh,1399,Station,2016-08-14,2018-08-07,False,e5019bcf-7eb8-405f-9940-61bce63261ac,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
167257,1001,Suomenl Ahvenkosk Kyvy-9,1399,Station,2016-08-14,2018-03-21,False,260ddd30-a70d-47ff-9a6d-3d9ff8a76412,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166250,10010,MinchMalin_LochDuich_wa,1399,Station,2016-08-14,2018-08-07,False,c30ddbca-2ab7-4a6a-bd12-4d28416167f6,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166251,10011,MinchMalin_LochDunvegan_fi,1399,Station,2016-08-14,2018-08-07,False,f08f6fc1-eab2-4fbb-85cd-1945447e07b9,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166252,10012,MinchMalin_LochDunvegan_se,1399,Station,2016-08-14,2018-08-07,False,700005a7-7211-4ef8-b1d9-6939c633fd7c,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166253,10013,MinchMalin_LochDunvegan_sh,1399,Station,2016-08-14,2018-08-07,False,35102f32-fab1-48a2-8e2f-1b27bd4f8b14,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166254,10014,MinchMalin_LochDunvegan_wa,1399,Station,2016-08-14,2018-08-07,False,14fbe328-d133-4055-a377-1c777ceede41,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166255,10015,MinchMalin_LochEil_fi,1399,Station,2016-08-14,2018-08-07,False,b4a3935d-53a0-4955-896e-61ad779a2f18,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166256,10016,MinchMalin_LochEil_se,1399,Station,2016-08-14,2018-08-07,False,5171d04c-2724-475a-a360-8bba131fb037,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166257,10017,MinchMalin_LochEil_sh,1399,Station,2016-08-14,2018-08-07,False,00523455-27ec-49fc-9969-2a5be6adb85c,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166258,10018,MinchMalin_LochEil_wa,1399,Station,2016-08-14,2018-08-07,False,15e0551f-9808-412d-b6e4-f555be61c78b,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166259,10019,MinchMalin_LochEishort_fi,1399,Station,2016-08-14,2018-08-07,False,f5ef2987-de6d-4256-9118-0b8df5d176dd,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
167258,1002,Suomenl Pitkäv Kyvy-10,1399,Station,2016-08-14,2017-08-29,False,a21fa01b-c648-4eb3-9177-d957babde220,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166260,10020,MinchMalin_LochEishort_se,1399,Station,2016-08-14,2018-08-07,False,2d100f96-f8aa-4628-bd85-ca53793fefc9,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166261,10021,MinchMalin_LochEishort_sh,1399,Station,2016-08-14,2018-08-07,False,9e815732-7542-44b4-800f-ae61774349cc,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166262,10022,MinchMalin_LochEishort_wa,1399,Station,2016-08-14,2018-08-07,False,13c8141b-3c0a-4f62-be46-8b50aaf4129d,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166263,10023,MinchMalin_LochEport_fi,1399,Station,2016-08-14,2018-08-07,False,46dcc4eb-419d-4fe2-8dd3-240bb07fb6ac,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166264,10024,MinchMalin_LochEport_se,1399,Station,2016-08-14,2018-08-07,False,0fe05740-daf9-4539-829a-f0bf967ba9b9,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166265,10025,MinchMalin_LochEport_sh,1399,Station,2016-08-14,2018-08-07,False,65091185-ac43-4f2f-a922-41516c32c3a1,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166266,10026,MinchMalin_LochEport_wa,1399,Station,2016-08-14,2018-08-07,False,ed2327d4-205d-4942-9801-8836bd41fee5,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166267,10027,MinchMalin_LochErisort_fi,1399,Station,2016-08-14,2018-08-07,False,728e52ea-e30f-43be-a207-fec55782be37,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166268,10028,MinchMalin_LochErisort_se,1399,Station,2016-08-14,2018-08-07,False,df42dd8b-ff69-4dca-8b99-c48276093c8f,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166269,10029,MinchMalin_LochErisort_sh,1399,Station,2016-08-14,2018-08-07,False,6d3103fc-8e35-4f12-9339-20a7527981d4,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
167259,1003,U-6 Uudenkaarlepyyn edus,1399,Station,2016-08-14,2018-03-21,False,9865377b-357b-487d-915b-7f01c2d43450,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166270,10030,MinchMalin_LochErisort_wa,1399,Station,2016-08-14,2018-08-07,False,a5450591-b49e-433f-b49d-dd800ec50567,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166271,10031,MinchMalin_LochEtive_fi,1399,Station,2016-08-14,2018-08-07,False,d15c55b2-420b-4ef1-a69a-1306426575d3,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166272,10032,MinchMalin_LochEtive_se,1399,Station,2016-08-14,2018-08-07,False,a611cdbf-7609-4c49-91d6-a3fbed9b9533,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
166273,10033,MinchMalin_LochEtive_sh,1399,Station,2016-08-14,2018-08-07,False,dd731a82-cbd6-471b-ba10-5a0a7c29d7fe,dd591b83-fa5c-4ad9-b6f2-6d875d2eb320
